
('Silver III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Veigar', 'Teemo', 'Jinx')
('Silver I ', '15', '0', '7.7', '23', '62', '270', '133.9k', '0', '351', '669', '134.2k', 'Thresh', 'Lee Sin', 'Blitzcrank')
('Silver II ', '3', '0', '1.4', '11', '13', '23', '28.9k', '0', '32', '418', '48.9k', 'Yasuo', 'Gnar', 'Tahm Kench')
('Silver I ', '202', '3', '4.2', '1.1k', '1.2k', '1.7k', '2.1m', '0', '2.7k', '22.3k', '2.7m', 'Thresh', 'Vi', 'Lee Sin')
('Silver I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Nami', 'Nautilus', 'Ahri')
('Silver I ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Jhin', 'Master Yi', 'Draven')
('Silver II ', '39', '0', '18.8', '251', '296', '224', '435.0k', '0', '347', '6.1k', '770.7k', 'Darius', 'Shen', 'Vi')
('Unranked ', '15', '0', '8.3', '106', '112', '121', '205.5k', '0', '159', '3.0k', '335.2k', 'Miss Fortune', 'Jinx', 'Vayne')
('Silver II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Shen', 'Thresh', "Cho'Gath")
('Silver III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Jhin', 'Ivern', 'Caitlyn')
('Silver IV ', '12', '0', '6.0', '71', '62', '101', '122.6k', '0', '109', '1.3k', '210.8k', 'Kindred', 'Lux', 'Jinx')
('Unranked ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Lee Sin', 'Jarvan IV', 'Jax')
('Silver III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Kindred', 'Morgana', 'Tahm Kench')
('Silver II ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Shen', 'Talon', 'Sivir')
('Silver III ', '7', '0', '3.5', '46', '45', '33', '74.6k', '0', '58', '1.1k', '124.2k', 'Yasuo', 'Zed', 'Darius')
('Silver III ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Katarina', 'Miss Fortune', 'Janna')
('Silver IV ', '0', '0', '0.0', '0', '0', '0', '0', '0', '0', '0', '0', 'Lulu', 'Akali', 'Thresh')
('Silver I ', '7', '0', '3.2', '47', '30', '24', '74.7k', '0', '64', '1.1k', '108.3k', 'Yasuo', 'Riven', 'Darius')
('Silver IV ', '12', '0', '6.3', '57', '61', '158', '120.8k', '0', '191', '885', '166.6k', 'Thresh', 'Draven', 'Yasuo')
